@relation "temp2.txt"

@attribute id string
@attribute tweet string
@attribute emotion string
@attribute class string

@data
"2017-En-31460","	@homoaesthetics YESYESYES gusta jd es el más cercano cahracter aquello es similar a blaine!! El optimismo y habilidad de agrietar caracteres duros	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-40579","	@TheRandomAnt @meg_m203 yeah,  representaron que los ornamentos son manera más queridos que spektar y desolate marcha. Bien  pensaron bien.	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30558","	Hey NASCAR Seguidores. Eres yendo a la carrera en Loudon este fin de semana?  Por qué no parar por Día Nuevo Diner para un grande hearty almuerzo antes de que  vas	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-31379","	Amor vuestro espectáculo nuevo @driverminnie	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-30917","	@DDogsScout 'Oh!' Casi con extraño cheerfulness, ofertas de Jefe Grande:  soyuzzle centellea cegar. Accidental por el tipo que devenía mi amigo mejor.'	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-31281","	@NFLonFOX @TheDoctorCarson @FOXSports Fácil, breezy, bonito...	","valence",	"2: moderately positive emotional state can be inferred"
"2017-En-31189","	Ser en el campo todo el día era tan complaciendo	","valence",	"3: very positive emotional state can be inferred"
"2017-En-30750","	@oso_ing tú asshole... Me hice sexualmente atacado a un oso animado :-P	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-22058","	@swarbleflop @LightskinJesuSP  son ambos bastante terribles cuándo  miras en ellos históricamente	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30420","	@Corsair aquellos sparkling parece un vampiro de gay 😁	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-20754","	Lo que hace Aquila, Ajahnae, y Euriechsa haber en común además ridiculously estúpido,horrible,feo, Dios nombres terribles? Tracey NO ES su padre	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-31213","	@SquishyJiminie aww gracias!! Sin duda estoy sintiendo mucho mejor hoy y vuestros mensajes me aclaman arriba demasiado ☺️	","valence",	"2: moderately positive emotional state can be inferred"
"2017-En-30226","	El T.I / Shawty Lo la ternera es una del más underrated unos en cadera-hop historia. Chock-Lleno de ingenio, bravado e hilaridad.	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-30475","	Y tú también! #sparkling @cherebork @MelissaJoyRD @SarahKoszykRD @Come4rendimiento @rustnutrition @jenhaugen	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-21150","	@1johndes la pelota que mira &amp; Rojo'd el encabezamiento era igualmente terrible!!	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-11457","	Para cada minuto eres enojado  pierdes sesenta segundos de felicidad. - Ralph Waldo Emerson #cita	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-40386","	@jccrocker #CharlotteProtest  u #espera 4 el vídeo #de hechos o  u #el odio ahora pregunta las cuestiones más tarde  #protestan #PoliceShootings #las sugerencias	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-40771","	Complacen oso conmigo, no soy Twitter savvy😝 en vida real soy una persona de Facebook. Me ayudo blog de seguidores 🤓 #del beneficio #selfhelp	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-20593","	Y aquí  vamos otra vez 😓	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30100","	 encontré #marmite en Australia. `:) #Feliz	","valence",	"3: very positive emotional state can be inferred"
"2017-En-30611","	Misery compañía de amores. La iglesia ought para ser un sitio donde  encuentra ninguno.\n-Pastor Kris Theobald #alegría #rejoice	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-21527","	 esto sopla vuestra mente tanto como  sople mina, o  justo sexualmente acoso alguien? #WHOA #Mindblown #huh #Susto #de contratiempo #madashell 😂	","valence",	"2: moderately positive emotional state can be inferred"
"2017-En-10199","	@canada4trumpnow @donlemon  tiene TEMPERAMENTO MALO  #HissyFits	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30535","	@TheNotoriousMMA pareciendo @MIckeyRourkeFP en su heyday	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30739","	@blackeyed_susie no están yendo fuera, y no les quiero ver hizo daño; cambiando mentes/de corazones es realmente nuestra opción única, no?	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30502","	i Estoy haciendo ropa sucia y mirando que 70  espectáculo con un ramo de desconocidos.  #Cumpleaños #a #mí	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-31249","	aquello es mi breezy breezy breezy aquello es mi breezy aquello es mi buzzinnnnnn.	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-31557","	Nunca #hacer una decisión cuándo  eres .. #Enojado &gt;_&lt; .... Y nunca hacer un #promis cuándo eres #feliz :) :*	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-20042","	@danisnotonfire  me hice grito y sacudida al punto donde mis padres me tuvieron que calmar abajo y darme calmando pastillas...	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-31117","	Una delicia para ser en el Camino esta noche y presenciar los debuts de algún talento joven que podría ser el backbone de nuestro club!! #COYS	","valence",	"3: very positive emotional state can be inferred"
"2017-En-20199","	Nunca puedo encontrar el exacto #emoji que  soy después en el momento exacto que  lo necesito #pánico	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30063","	@alpuzz Ah, pero una vez  lo conseguí para trabajar, había mucho rejoicing! Lol gracias Lo conseguirá para hacer taht ahora.	","valence",	"3: very positive emotional state can be inferred"
"2017-En-10138","	..... Despierta y dice 'tenerte probó cambiar su nappy?' 😡👊🏼 !!!!	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-10716","	Rogando para el #Señor para mantener #celos #de odio #de la rabia fuera de vuestro corazón es una señal de #madurez #conciseness	","valence",	"-1: slightly negative emotional state can be inferred"
"2017-En-40639","	Nunca dejado me ver  arrugas la frente	","valence",	"-1: slightly negative emotional state can be inferred"
"2017-En-40116","	@GoPro vuestro UX on-line está horrorizando! Ningún claro salva botón, no siendo capaz de utilizar cualquier genérico TLD  #infeliz	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-31207","	@alicereidy más de un hearty hombre italiano yo	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-21895","	@amychozick @jswatz No una palabra aproximadamente terrorismo.	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30810","	@MaxVenator  Hemos tenido ninguna política extranjera pero ha tenido goofy Secretario de Estado John Kerry con su diablo se puede preocupar pose y bufanda azul desenfadada.	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-40758","	Día muy largo. Da las gracias a bondad para Cocer Fuera a brighten arriba de un miércoles cansado ☺ #GBBO	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30021","	Cuándo  despiertas de un sueño que ríe en algo estúpido, y que marcas  ríes más #hilarious	","valence",	"3: very positive emotional state can be inferred"
"2017-En-20518","	Hope era un instinto sólo el razonando la mente humana podría matar. Un animal nunca supo desesperación.	","valence",	"-1: slightly negative emotional state can be inferred"
"2017-En-11107","	@jonfavs Don King es un insulto a la inteligencia de la Comunidad Negra.  Qué es estas personas que piensan?	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-30998","	@FilthyFrank Mi primer tiempo que mira vuestro vids e i murió de risa. Mantiene esto arriba de dude	","valence",	"3: very positive emotional state can be inferred"
"2017-En-30725","	@Spacekatgal @outmagazine Su vale para ser trans justo rejoice con el trans en el trans manera. Por cierto no es vuestro negocio, así que por qué cuidado?	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-21875","	Omg De hecho pensé  vaya a saltar.  #SouthPark20 #southpark	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30068","	@TheSandraGal Feliz de ver que  eres habiendo diversión en el sol. Deportes de agua son siempre divertidos, desafiando, y exhilarating. #Belleza #de felicidad	","valence",	"3: very positive emotional state can be inferred"
"2017-En-41505","	Este entero #VanRE + la extradición podría convertir en la caja de una Pandora. JT Tiene ninguna idea sobre aquel murky corrupto guanxi en China; Sapo vs Dada ;-)	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-21858","	el cuerpo es sleepy pero la mente es activa. Tan triste... se tiene que preparar para trabajo en 30 minutos. Damn! #Inquieto	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-31388","	El SEÑOR vuestro Dios es en vuestro midst—un guerrero que trae victoria. Cree tranquilo con su amor; él  rejoice encima tú con cantar.	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-30198","	#personaldevelopment\n\nToday Es un regalo, es por eso que está llamado el presente... #Optimismo #de felicidad #entrepreneur #personaldevelopment …	","valence",	"3: very positive emotional state can be inferred"
"2017-En-31169","	la idea Buena recoge todo pertinente socialmedia en uno-Pero dont ser automático pls #worldsapp ⬅️ #chirp #appsworld #socialmedia @DanielFeuer merci🎈	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-21318","	nunca puedo encontrar el exacto #emoji que  soy después en el momento exacto que  lo necesito #misiles #nucleares.\n\n#IndianArmy	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-10460","	Brendan Rodgers mira fuming 😭	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-22193","	@GOtvNg CN parece te gustas sólo apreciar revisiones buenas. Ninguna disculpa a mis años de preocupación hace.	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30117","	Mi amigo justo messaged me 'ugh I soy tan famélico no puedo esperar para almuerzo' #socialmedia #WineWednesday #hilarious #gracioso #riendo #feliz	","valence",	"3: very positive emotional state can be inferred"
"2017-En-30189","	I soy siempre a punto para #sonreír.	","valence",	"2: moderately positive emotional state can be inferred"
"2017-En-10379","	@HebertofNH Cualquier tiempo un hombre que consiguió pagado para echar templar tantrums habla arriba, tú gotta escuchar.	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-10355","	@PuseLepuru Es la irritación de no habiendo encontrado al cadáver	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-31552","	le Gusta yo dijo ➡ hay abundancia de cheddar en el queso para ir alrededor! Para todo el mundo. ☺ #Sonrisa	","valence",	"2: moderately positive emotional state can be inferred"
"2017-En-41183","	@RobertWesley3 I soy #loco que mi hermano es #triste ! Siente mejor bub!	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30767","	@ClvlndK8 es tan triste! Allí ha siempre tal optimismo con un año nuevo. Esto es...No bien. @BuckshotBandit1 @dapostrophearcy	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30933","	una cosa  puedo decir es que  me mantuve sonriendo	","valence",	"3: very positive emotional state can be inferred"
"2017-En-30269","	 está significado para ser!!	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30462","	El corazón de vuestro león\nWill protegerte debajo cielos tormentosos\nAnd siempre seré escuchando para vuestra risa y vuestras lágrimas	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-31341","	Deja conseguir esto Astros/Un es juego yendo ya!   Vamos a necesitar todo 5 de tú en attendance para aclamar el Un es a victoria!	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-31238","	Bien aquello era exhilarating. No te supe podría haber goosebumps para 2 hrs 5m directamente.	","valence",	"2: moderately positive emotional state can be inferred"
"2017-En-31440","	Apuesta pawpaw está pasando bien rejoicing arriba en cielo para su primer cumpleaños allí!	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-31466","	Vincent que mira super chico animado... Hattrick Quizás lol	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-40080","	en salud nosotros  un pensar aproximadamente depresión y ahora i sentir como i tenerlo	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-10339","	@Thebeast_ufc qué pasado al suicidio tweet sea un chiste evidentemente cómo podría aquello ofende cualquiera?🤔	","valence",	"-1: slightly negative emotional state can be inferred"
"2017-En-11026","	 ODIO pocas chicas 😡😡 conseguían mucho fuera creciendo hasta hacer!!! #fuming	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-21272","	@JamesPiotr  Estoy trabajando en una característica bien ahora sobre el preponderance de dueños terribles que son en guerra con seguidores. Tantos para escoger de.	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-31494","	 Tome tan poco para hacer la vida de un niño joyful, por qué  trabajamos tan duros de hacer su infierno de vidas? @MiddleEastEye Paz	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30228","	Omg soy exterior haciendo latidos con garageband y algunos los pájaros pequeños  decidieron a chirp a lo largo de （≧∇≦）	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-40273","	@DoubleEph tristemente sus días mejores son detrás le	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-20423","	@zavvi @zavvihelp sólo ofreciendo 6 garantía de polilla #ps4pro #verdad #impresionante #ripoff	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-31263","	Vale,  parece hay esperanza quieta en BSNL 🙂\nNow, BB la velocidad es vale 🙂\nBut no daré las gracias a y elate mucho lest lo ser ido otra vez gustar antes de 😐🙂	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30220","	chirp chirp! Qué un blanco bonito y pájaro rojo! 🐦	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-30616","	@Blancalanka96 pensó sea divertido y no es divertido pero en el lado brillante no tengo que lucha para aparcar	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-41395","	está sido 5 semanas y todavía paso por depresión smh	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-10206","	@sueblue35 @nsoz7 @immortalbulldog huh?  Tenemos un entrenador de sprint? Somos el equipo más lento en el comp. Charla aproximadamente atracando un viviente. #Ultraje	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-30722","	@Nikhilv95 @LydiajaneF I deseo, yo realmente, verdaderamente deseo, que  hube justo un modicum de vuestro banter.	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30295","	Uso vuestra sonrisa para cambiar el mundo. No deja el cambio mundial vuestra sonrisa.' #Citar #actorslife #amor #de sonrisa #hardworkpaysoff #diversión	","valence",	"3: very positive emotional state can be inferred"
"2017-En-40964","	Un punto: DSP reclamaciones YTers perdió a medias su viewership en 2012 si no utilizaban captura directa. Aquello es cuándo los cambios de búsqueda pasó	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30744","	.@potus Obama describe su temperamento cuando  teady &amp; en el buoyant lado.'	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30377","	- La ocasión dichosa de reír en el ostentatious exhibición de falta de respeto. Bruce justo scoffed en la escena entera. Esto no fue Batman es -	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30188","	La carrera actual de superhombre continúa ser una delicia!  Puedes sentir el amor vertido a él por everone en el superhombre de equipo #creativo	","valence",	"3: very positive emotional state can be inferred"
"2017-En-31519","	Venido al @BullSkitComedy FUNdraiser este Fri. En 8pm @TheScottBlock. Porque #cara + #de pastel = !	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-21027","	@washingtondc @NMAAHC Aquello es Noah Arca, es un diseño fabuloso.	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30276","	 Soy un cheery fantasma.	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-31326","	  Sabes que el sparkling letras en Super periodo de Galaxia del Mario fuera de U R GAY/GAY/GAY/GAY	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-11505","	@Markk1872  cabezas Rojas son más fiery.	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-21020","	Inicios sólidos por #Bozzelli y #BenEvans. Esperando para un inicio #bueno !	","valence",	"2: moderately positive emotional state can be inferred"
"2017-En-30426","	Relive Vega  heyday con tributo de Paquete de la Rata	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-10507","	@fleetstreetfox  es buzzing pathetically para compasión si  lo dejaste fuera él  twirl es bigote, chuckle y picadura tú #Psychowasp	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-20140","	entrevista de Trabajo por la tarde  #ek	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-31363","	Hoy  contesté una llamada de una universidad rep quién no realizó yo , y  conseguía para oír parte de su debate animado aproximadamente si la evolución es real.	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30417","	 Tengo algunos bolígrafos nuevos para romper en. Nombre una serie animada y yo dibujarán tú en aquel estilo 🖍	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-10395","	Si  gasto más de £10 en shimmy en £1 bebidas seré furioso, pero nosotros todos saben  va a pasar	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30956","	#terribledebatequestions me ha dado tantas risas esta tarde! Gracias Twitter!  #cleverpeople	","valence",	"3: very positive emotional state can be inferred"
"2017-En-30393","	Justo ahora  éramos rejoicing que finalmente ganamos un partido el sorteo justo reveló que  estamos afrontando ciudad luego. Esta vida sef	","valence",	"-1: slightly negative emotional state can be inferred"
"2017-En-30265","	pensé que conseguía loco para cualquier cosa pero mi bf consigue loco sobre cualquier poca cosa lmfao mierda ser hilarious	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-22155","	seriamente espero estas posibilidades Celtas falta va a volver para perseguirles con un Alloa perforadora de ventosa	","valence",	"-1: slightly negative emotional state can be inferred"
"2017-En-41293","	i cant vive anymore mi roblox conseguía termianted :(((((((((((((((((((((((( #triste #killme #lol #robloxgamer	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-31381","	@Jengibre_Naylor *Connie volvió en* Hey pareces un poco más animado	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-20118","	en mi sueño.... Intentaban robar mi riñón!!!  #blackmarket #whydidiwatchthat	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-20618","	Obama admin rehusa plan de Texas para tener refugiados vetted para terrorismo así que atracciones de Texas de de refugiado alimentado resettlement programa. Aiding .	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-10907","	Justo unido #pottermore y estuvo ordenado a HUFFLEPUFF 😡😡😡	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-31432","	Bromistas Poco prácticos...Prácticamente genio!!!  @BQQuinn #Bien #de risa4thesoul #ImpracticalJokers #bingewatching	","valence",	"2: moderately positive emotional state can be inferred"
"2017-En-21015","	#nana 4 hoco bc mi sueño desde freshman sobrecogimiento de año 😙❤❤❤ @thecandeyman	","valence",	"2: moderately positive emotional state can be inferred"
"2017-En-30678","	@crumpledlinen él chirp	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-41196","	El fantasma de Stefano refleja en la indignidad siniestra de ser asesinado por corrupto cops en faux amor. #A Días	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30485","	Justo les gusta hay una manera correcta de rogar, hay una manera correcta de dar - no grudgingly o de necessity, pero alegremente. #woficc	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-10405","	Tipo a través de de mí en un traje realmente feo no puede parar expresando su displeasure	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-30749","	f breezy	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-30795","	Resulta 'él' no fue incluso cualquier cosa para ser preocupado aproximadamente en absoluto. Im Feliz y un poco frustró  tome tan mucho tiempo para conseguir esta respuesta.	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-41198","	Bojack Horseman: El espectáculo más triste nunca escrito?? #Estación #de depresión1	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-31596","	Deshidrató, agotado, acentuado pero todavía bendecido.	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-31426","	 Quiero mi punto destacado para ser tan brillante que si nunca consigo perdido y alguien está buscándome en la oscuridad,  me encontrarán.	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-31479","	#Apreciar qué  has &amp; disfrutar vuestra vida. \nUse Vuestra #sonrisa 😃 para ayudar otros utilizan el suyo. ☺️	","valence",	"2: moderately positive emotional state can be inferred"
"2017-En-30241","	Qué si.... El Metro LRT fue sobre el Walterdale?!?! 😂 #yeg	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-31123","	@cedricyarbrough Nos encantas! #hilarious    Estamos quedando a la espera de Tanto más!  #kudos En el #piloto @Mudo_ABC #mudo	","valence",	"3: very positive emotional state can be inferred"
"2017-En-30708","	Un anterior diplomat es bastante gleeful sobre la situación de Pakistán en @TimesNow\nNot bastante rígido labio superior de la diplomacia vista normalmente	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-41041","	Suspiro.  Conseguía un B- .. #Deprimiendo	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-30347","	@yoursecretsub1 me Confío en querido, si  quieres hacer cualquier cosa invisible, colgar una pintura mojada encima lo, e hilaridad  ensue.	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-31615","	Preguntado una cosa de nuestros tipos esta noche y lo consiguió! #Feliz #orgulloso #decepcionado - AQUELLO ES FÚTBOL #timetoclimbthetable	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30865","	Cuándo  damos alegremente y aceptar gratefully, todo el mundo está bendecido. »Maya Angelou	","valence",	"2: moderately positive emotional state can be inferred"
"2017-En-30380","	Cuándo  eres prof sugerir @Pharrell y William James puede probablemente no poder socios de diálogo y entonces juega el #vídeo feliz #WeAreCST	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-10643","	ser fuerte, independant y práctico. La parón que vive en vuestro mundo de fantasía. Chasquea fuera de él. El más rápido u conseguir utilizado a la realidad, los Latidos	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-40694","	mejores es con exactitud todopoderosos con respetar a alto-calidad alto-hablante de frecuencia en re el extra desolate relacionando para despedir-ea:…	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-20831","	@SteveBryantArt  era bastante seguro sea un Ticket Dorado. Conseguir una visita. se equivoca. Algo horrific pasará a ti. Señor de día bueno.	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-10096","	@NeoFundie @fitchest Ha. Correcto.  Soy de San Jose, CA, e I se agravió correcto allí contigo. Dave, va en un paseo o algo tiempo próximo.	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30312","	@bradshawjp Golosina! #Optimismo	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-11025","	Repeal/sacar el 'Johnson Enmienda'. Es una afrenta directa a la Primera Enmienda de la Constitución.	","valence",	"-1: slightly negative emotional state can be inferred"
"2017-En-20407","	Así que  #acechan para matar #kapernick para ARRODILLAR.  Digo cada parón justa atleta que juega hasta igualdad y justicia sociales viene adelante.	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-11636","	@JordySloan Amor que Jordy #revenge ⚽️	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30624","	Mente si I tag a lo largo de?'  Pregunte alegremente, barriendo una cerradura de cabello detrás de su oreja. ' Quiero ver si realmente has conseguido • @DitheringWizard	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-31502","	todo el mundo odia dos veces, e i kinda hizo demasiado pero  conseguían bops i estoy chocando rn para aclamar arriba de Justo	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30340","	mirado Django Desencadenó, Otras personas pueden arrugar la frente, pero I titter en delicia! 2/5	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-30954","	I justo quiere dejar todo el mundo allí sabe eres personas maravillosas! #beyourself   #Tarde-noche #compliment #behappy	","valence",	"3: very positive emotional state can be inferred"
"2017-En-40209","	@el_tityboi bc  es un gloomy día Tony	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-30209","	@crimpoop mi hija adorable y alegre\nAlways vertiendo positivity verde goo encima me\ndare hecho daño le y  verás el infierno //gruñe\n\n#PandaBot	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-41228","	@teenageic0n_ serás complacido para saber mi familia es blues	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-10697","	Eres perdido en la furia, temiendo que  fallarás?	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-11187","	Algunos del casuals tweets que Vic ha faved está haciéndome amordazar #amargo	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-10583","	@judahandthelion ESTA NOCHE. Legit No puede esperar para bramar 🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🔥	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-40661","	ya el chico consigue loco cansado de pinos	","valence",	"-1: slightly negative emotional state can be inferred"
"2017-En-40820","	MC: qué eres escucha a estos días?\nBogum: Estos días  siento gloomy,  escucho a ccm (canción espiritual) a menudo.\n\nChurch oppa Modo. :)	","valence",	"-1: slightly negative emotional state can be inferred"
"2017-En-40076","	@6itmap no puedo ayudar pero sentir melancólico!	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-30829","	@Casper10666 I te aseguras no hay ninguna risa, pero rabia creciente en los costes, y arrogancia de Westminster.	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-22005","	😩😩😩😩 Las cabezas fundieron, muy cansados pero no puede dormir. #Pesadilla	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-30463","	@LPDonovan esto es por qué yo piensa su pre prepped respuestas de debate tienen el potencial para hilaridad	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-10067","	Una vez más la cosa única en mi alimentar es naay bramando aproximadamente algo y mi hermano que rellena a todas las Mujeres	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-10448","	de vacíos no les gustan las chicas porque  nos les molestamos para mirar tan grande/ deseamos todavía parecimos que  #lavó	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-10280","	el ultraje ha pasado y ha sido reemplazado por una aceptación muda, fatalista de la situación actual.  #Deportes	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-31603","	#de fatalismo semilla Superior Johnson persigue delicia doble en Visita Campeonato	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-31109","	@Za_buhmaid cumpleaños Feliz sweety .. Dulce 21 hun esperanza u tener un día maravilloso y un wondrful joyful el año mejor que el último un, Luv U ♥	","valence",	"3: very positive emotional state can be inferred"
"2017-En-20408","	@tylerhower Cobertura Milo podría hacer nota—no mucho, incluso en aquel—pero celebrándole tan puckish es cooperación en algo horroroso.	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-11387","	Aidy: *Tiene una cuestión de física*\nAidy: '... vale, no voy a preguntar Tristan causa no quiero agravar su'	","valence",	"-2: moderately negative emotional state can be inferred"
"2017-En-31474","	#MeogysDailyVocabEnhancment Elation: calidad o estado de ser elated; sentimiento o estado de orgullo o alegría grandes	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-41124","	no me puedo estirar fuera de depresión	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-10582","	@jessebwatters lol. Lo encanta cuándo  agravas Juan. Mantiene arriba del trabajo bueno. Lol	","valence",	"0: neutral or mixed emotional state can be inferred"
"2017-En-30239","	@MericanMainer AWW.  Tuve un Maine Coon cuándo era poco nombrado Ted Remolino el Gato de Maravilla. Son tales gatos buenos! Muy playful y dulce	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-21313","	@CNN complacer fuego don limón!!No Le deja informe en anymore  protesta. Es #horrible #negativo y se ahuyenta del asunto a mano!	","valence",	"-3: very negative emotional state can be inferred"
"2017-En-31284","	@NHLstoreNYC  Aclamando para @TeamNA_WCH y @HC_Hombres	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-31296","	@StephaliciousD delicia de tarde	","valence",	"1: slightly positive emotional state can be inferred"
"2017-En-10509","	@HuffPostUK  NO ira más grande que una mujer scorned.	","valence",	"-2: moderately negative emotional state can be inferred"
